lattice diameter Temperature    PS
150.00    29.80   773.15 10000000.00
t(s)      gC/gcat/min     nm/s       CXFNum     coverage
7.585e-05     0.25568     7.63275     0.00000   0.000e+00
9.981e-05     0.38858    11.59996     0.00000   0.000e+00
1.221e-04     0.31763     9.48216     0.00000   0.000e+00
1.406e-04     0.34472    10.29087     0.00000   4.444e-05
1.535e-04     0.44224    13.20193     0.00000   0.000e+00
1.662e-04     0.40832    12.18943     0.00000   0.000e+00
1.790e-04     0.37924    11.32135     0.00000   0.000e+00
1.907e-04     0.40683    12.14479     0.00000   0.000e+00
2.018e-04     0.38435    11.47393     0.00000   0.000e+00
2.130e-04     0.36424    10.87351     0.00000   0.000e+00
2.241e-04     0.34612    10.33257     0.00000   0.000e+00
2.353e-04     0.32972     9.84291     0.00000   0.000e+00
2.464e-04     0.31480     9.39759     0.00000   0.000e+00
2.580e-04     0.30061     8.97397     0.00000   0.000e+00
2.699e-04     0.28737     8.57856     0.00000   0.000e+00
2.818e-04     0.27524     8.21648     0.00000   0.000e+00
2.923e-04     0.29850     8.91095     0.00000   4.444e-05
3.017e-04     0.32136     9.59329     0.00000   0.000e+00
3.111e-04     0.31166     9.30385     0.00000   0.000e+00
3.205e-04     0.30253     9.03139     0.00000   0.000e+00
3.299e-04     0.29392     8.77427     0.00000   0.000e+00
3.384e-04     0.31521     9.40986     0.00000   0.000e+00
3.469e-04     0.30750     9.17956     0.00000   0.000e+00
3.553e-04     0.30015     8.96017     0.00000   0.000e+00
3.635e-04     0.29341     8.75915     0.00000   4.444e-05
3.707e-04     0.34004    10.15112     0.00000   0.000e+00
3.778e-04     0.33362     9.95936     0.00000   0.000e+00
3.850e-04     0.32744     9.77486     0.00000   0.000e+00
3.918e-04     0.32172     9.60409     0.00000   0.000e+00
3.991e-04     0.31586     9.42915     0.00000   0.000e+00
4.064e-04     0.31020     9.26019     0.00000   0.000e+00
4.135e-04     0.32828     9.79998     0.00000   0.000e+00
4.206e-04     0.32271     9.63373     0.00000   0.000e+00
4.275e-04     0.31755     9.47976     0.00000   4.444e-05
4.341e-04     0.33507    10.00257     0.00000   0.000e+00
4.404e-04     0.33027     9.85944     0.00000   4.444e-05
4.467e-04     0.34728    10.36710     0.00000   0.000e+00
4.533e-04     0.34223    10.21653     0.00000   0.000e+00
4.600e-04     0.33724    10.06748     0.00000   0.000e+00
4.669e-04     0.33228     9.91948     0.00000   0.000e+00
4.736e-04     0.32754     9.77791     0.00000   0.000e+00
4.800e-04     0.34340    10.25131     0.00000   0.000e+00
4.866e-04     0.33875    10.11242     0.00000   0.000e+00
4.928e-04     0.35418    10.57329     0.00000   0.000e+00
4.989e-04     0.34982    10.44285     0.00000   0.000e+00
5.051e-04     0.34556    10.31574     0.00000   0.000e+00
5.112e-04     0.34140    10.19160     0.00000   0.000e+00
5.174e-04     0.33734    10.07050     0.00000   0.000e+00
5.235e-04     0.33341     9.95310     0.00000   0.000e+00
5.291e-04     0.34821    10.39480     0.00000   0.000e+00
5.344e-04     0.38100    11.37392     0.00000   0.000e+00
5.397e-04     0.37730    11.26330     0.00000   0.000e+00
5.449e-04     0.37367    11.15488     0.00000   0.000e+00
5.503e-04     0.37001    11.04572     0.00000   0.000e+00
5.557e-04     0.36641    10.93823     0.00000   0.000e+00
5.609e-04     0.38032    11.35347     0.00000   0.000e+00
5.660e-04     0.37689    11.25124     0.00000   0.000e+00
5.711e-04     0.37353    11.15087     0.00000   0.000e+00
5.763e-04     0.37017    11.05057     0.00000   0.000e+00
5.815e-04     0.36683    10.95088     0.00000   0.000e+00
5.868e-04     0.36355    10.85294     0.00000   0.000e+00
5.920e-04     0.36033    10.75670     0.00000   0.000e+00
5.972e-04     0.35716    10.66226     0.00000   0.000e+00
6.025e-04     0.35405    10.56941     0.00000   0.000e+00
6.078e-04     0.35094    10.47639     0.00000   0.000e+00
6.132e-04     0.34784    10.38401     0.00000   0.000e+00
6.187e-04     0.34475    10.29173     0.00000   0.000e+00
6.243e-04     0.34168    10.19987     0.00000   0.000e+00
6.299e-04     0.33865    10.10964     0.00000   0.000e+00
6.355e-04     0.33568    10.02098     0.00000   0.000e+00
6.410e-04     0.33277     9.93386     0.00000   0.000e+00
6.466e-04     0.32990     9.84822     0.00000   0.000e+00
6.522e-04     0.32708     9.76405     0.00000   0.000e+00
6.578e-04     0.32430     9.68130     0.00000   0.000e+00
6.633e-04     0.32158     9.59996     0.00000   0.000e+00
6.689e-04     0.31890     9.51996     0.00000   0.000e+00
6.745e-04     0.31626     9.44128     0.00000   0.000e+00
6.801e-04     0.31367     9.36391     0.00000   0.000e+00
6.856e-04     0.31114     9.28832     0.00000   0.000e+00
6.910e-04     0.32275     9.63483     0.00000   0.000e+00
6.964e-04     0.32024     9.56000     0.00000   0.000e+00
7.018e-04     0.31778     9.48640     0.00000   0.000e+00
7.072e-04     0.31535     9.41385     0.00000   0.000e+00
7.126e-04     0.31295     9.34246     0.00000   0.000e+00
7.180e-04     0.31060     9.27210     0.00000   0.000e+00
7.236e-04     0.30821     9.20071     0.00000   0.000e+00
7.293e-04     0.30577     9.12812     0.00000   0.000e+00
7.351e-04     0.30339     9.05699     0.00000   0.000e+00
7.405e-04     0.30114     8.98985     0.00000   0.000e+00
7.460e-04     0.29896     8.92475     0.00000   4.444e-05
7.512e-04     0.30978     9.24784     0.00000   0.000e+00
7.564e-04     0.30767     9.18463     0.00000   0.000e+00
7.613e-04     0.30567     9.12486     0.00000   4.444e-05
7.661e-04     0.31641     9.44552     0.00000   4.444e-05
7.709e-04     0.31444     9.38672     0.00000   4.444e-05
7.758e-04     0.32495     9.70048     0.00000   0.000e+00
7.808e-04     0.32289     9.63895     0.00000   0.000e+00
7.857e-04     0.32085     9.57819     0.00000   0.000e+00
7.907e-04     0.31884     9.51819     0.00000   0.000e+00
7.956e-04     0.31686     9.45893     0.00000   0.000e+00
8.006e-04     0.31489     9.40039     0.00000   0.000e+00
8.055e-04     0.31296     9.34259     0.00000   0.000e+00
8.105e-04     0.31105     9.28548     0.00000   0.000e+00
8.154e-04     0.30916     9.22906     0.00000   0.000e+00
8.204e-04     0.30729     9.17330     0.00000   0.000e+00
8.254e-04     0.30544     9.11823     0.00000   0.000e+00
8.303e-04     0.30362     9.06385     0.00000   0.000e+00
8.353e-04     0.30182     9.01012     0.00000   0.000e+00
8.402e-04     0.30004     8.95697     0.00000   0.000e+00
