lattice diameter Temperature    PS
100.00    19.87   546.15   200.00
t(s)      gC/gcat/min     nm/s       CXFNum     coverage
490.86596     0.00021     0.00283     0.00000     0.00000
494.26602     0.00021     0.00283     0.00000     0.00000
497.55518     0.00021     0.00284     0.00000     0.00000
501.62473     0.00021     0.00284     0.00000     0.00000
505.41162     0.00021     0.00284     0.00000     0.00000
509.53620     0.00021     0.00283     0.00000     0.00000
513.81125     0.00021     0.00283     0.00000     0.00000
518.34396     0.00021     0.00283     0.00000     0.00000
522.33355     0.00021     0.00283     0.00000     0.00000
526.20859     0.00021     0.00283     0.00000     0.00000
529.74260     0.00021     0.00283     0.00000     0.00000
534.74052     0.00021     0.00282     0.00000     0.00000
537.71757     0.00021     0.00283     0.00000     0.00000
541.42644     0.00021     0.00283     0.00000     0.00000
545.77070     0.00021     0.00283     0.00000     0.00000
549.18369     0.00021     0.00283     0.00000     0.00000
553.24414     0.00021     0.00283     0.00000     0.00000
557.32129     0.00021     0.00283     0.00000     0.00000
561.16193     0.00021     0.00283     0.00000     0.00000
565.56948     0.00021     0.00283     0.00000     0.00000
568.96919     0.00021     0.00283     0.00000     0.00000
572.55491     0.00021     0.00283     0.00000     0.00000
577.03853     0.00021     0.00283     0.00000     0.00000
581.90923     0.00021     0.00282     0.00000     0.00000
585.87759     0.00021     0.00282     0.00000     0.00000
589.32740     0.00021     0.00283     0.00000     0.00000
593.25791     0.00021     0.00283     0.00000     0.00000
596.97980     0.00021     0.00283     0.00000     0.00000
600.65943     0.00021     0.00283     0.00000     0.00000
604.75106     0.00021     0.00283     0.00000     0.00000
608.59200     0.00021     0.00283     0.00000     0.00000
612.34188     0.00021     0.00283     0.00000     0.00000
615.89090     0.00021     0.00283     0.00000     0.00000
619.70904     0.00021     0.00283     0.00000     0.00000
623.86632     0.00021     0.00283     0.00000     0.00000
628.09293     0.00021     0.00283     0.00000     0.00000
632.07938     0.00021     0.00283     0.00000     0.00000
635.97487     0.00021     0.00283     0.00000     0.00000
639.59790     0.00021     0.00283     0.00000     0.00000
643.51273     0.00021     0.00283     0.00000     0.00000
647.27116     0.00021     0.00283     0.00000     0.00000
651.24699     0.00021     0.00283     0.00000     0.00000
654.45954     0.00021     0.00283     0.00000     0.00000
658.88555     0.00021     0.00283     0.00000     0.00000
662.67652     0.00021     0.00283     0.00000     0.00000
666.18451     0.00021     0.00283     0.00000     0.00000
669.75593     0.00021     0.00283     0.00000     0.00000
673.66741     0.00021     0.00283     0.00000     0.00000
677.78794     0.00021     0.00283     0.00000     0.00000
681.68665     0.00021     0.00283     0.00000     0.00000
685.85862     0.00021     0.00283     0.00000     0.00000
689.12778     0.00021     0.00283     0.00000     0.00000
693.08041     0.00021     0.00283     0.00000     0.00000
696.41625     0.00021     0.00283     0.00000     0.00000
699.83090     0.00021     0.00284     0.00000     0.00000
703.62002     0.00021     0.00284     0.00000     0.00000
707.45495     0.00021     0.00284     0.00000     0.00000
711.66572     0.00021     0.00284     0.00000     0.00000
715.56358     0.00021     0.00284     0.00000     0.00000
719.01063     0.00021     0.00284     0.00000     0.00000
722.75407     0.00021     0.00284     0.00000     0.00000
726.93158     0.00021     0.00283     0.00000     0.00000
730.87440     0.00021     0.00283     0.00000     0.00000
735.52596     0.00021     0.00283     0.00000     0.00000
738.95578     0.00021     0.00283     0.00000     0.00000
742.45573     0.00021     0.00283     0.00000     0.00000
746.02099     0.00021     0.00283     0.00000     0.00000
750.20097     0.00021     0.00283     0.00000     0.00000
754.33873     0.00021     0.00283     0.00000     0.00000
759.04149     0.00021     0.00283     0.00000     0.00000
762.95287     0.00021     0.00283     0.00000     0.00000
766.65402     0.00021     0.00283     0.00000     0.00000
770.87803     0.00021     0.00283     0.00000     0.00000
774.26921     0.00021     0.00283     0.00000     0.00000
777.68113     0.00021     0.00284     0.00000     0.00000
781.62285     0.00021     0.00283     0.00000     0.00000
785.80975     0.00021     0.00283     0.00000     0.00000
789.44743     0.00021     0.00283     0.00000     0.00000
792.68344     0.00021     0.00284     0.00000     0.00000
796.29658     0.00021     0.00284     0.00000     0.00000
800.32600     0.00021     0.00284     0.00000     0.00000
805.07111     0.00021     0.00283     0.00000     0.00000
808.88556     0.00021     0.00284     0.00000     0.00000
812.32147     0.00021     0.00284     0.00000     0.00000
816.51096     0.00021     0.00284     0.00000     0.00000
820.43872     0.00021     0.00284     0.00000     0.00000
825.03553     0.00021     0.00283     0.00000     0.00000
828.82015     0.00021     0.00283     0.00000     0.00000
833.40633     0.00021     0.00283     0.00000     0.00000
837.75631     0.00021     0.00283     0.00000     0.00000
842.17915     0.00021     0.00283     0.00000     0.00000
845.56595     0.00021     0.00283     0.00000     0.00000
850.10741     0.00021     0.00283     0.00000     0.00000
854.04299     0.00021     0.00283     0.00000     0.00000
857.64343     0.00021     0.00283     0.00000     0.00000
861.33195     0.00021     0.00283     0.00000     0.00000
865.73626     0.00021     0.00282     0.00000     0.00000
869.26026     0.00021     0.00282     0.00000     0.00000
873.00926     0.00021     0.00283     0.00000     0.00000
876.95396     0.00021     0.00283     0.00000     0.00000
881.27848     0.00021     0.00282     0.00000     0.00000
885.94911     0.00021     0.00282     0.00000     0.00000
889.75965     0.00021     0.00282     0.00000     0.00000
893.37435     0.00021     0.00282     0.00000     0.00000
897.03927     0.00021     0.00282     0.00000     0.00000
900.33827     0.00021     0.00282     0.00000     0.00000
904.33580     0.00021     0.00283     0.00000     0.00000
907.93299     0.00021     0.00283     0.00000     0.00000
912.54297     0.00021     0.00282     0.00000     0.00000
916.20579     0.00021     0.00283     0.00000     0.00000
919.87933     0.00021     0.00282     0.00000     0.00000
924.08236     0.00021     0.00283     0.00000     0.00000
927.45710     0.00021     0.00283     0.00000     0.00000
931.47396     0.00021     0.00283     0.00000     0.00000
934.67701     0.00021     0.00283     0.00000     0.00000
